,Date,Open,High,Low,Close,Volume,Year,Month,Day
2867,2019-01-25,6.81,7.25,6.8,7.16,130000,2019,1,25
2868,2019-01-28,6.84,6.9,6.83,6.9,7000,2019,1,28
2869,2019-01-29,6.87,6.87,6.8,6.8,58500,2019,1,29
2870,2019-01-31,6.8,7.2,6.8,6.93,68000,2019,1,31
2871,2019-02-01,6.91,7.03,6.8,6.81,1112500,2019,2,1
2872,2019-02-04,6.81,6.96,6.81,6.94,42500,2019,2,4
2873,2019-02-06,6.86,7.03,6.85,7.0,148000,2019,2,6
2874,2019-02-07,6.95,6.96,6.95,6.96,2000,2019,2,7
2875,2019-02-08,7.17,7.29,7.17,7.24,25000,2019,2,8
2876,2019-02-11,6.95,6.95,6.95,6.95,5000,2019,2,11
2877,2019-02-12,6.85,6.85,6.85,6.85,1000,2019,2,12
2878,2019-02-13,6.86,6.86,6.6,6.64,68500,2019,2,13
2879,2019-02-14,6.75,6.75,6.75,6.75,2500,2019,2,14
2880,2019-02-15,6.75,6.75,6.75,6.75,5000,2019,2,15
2913,2019-04-09,5.0,5.0,5.0,5.0,16500,2019,4,9
2914,2019-04-10,5.14,5.18,5.0,5.0,2000,2019,4,10
2883,2019-02-21,6.7,6.75,6.7,6.7,10500,2019,2,21
2884,2019-02-25,6.75,6.75,6.61,6.61,14000,2019,2,25
2885,2019-02-26,6.5,6.5,6.3,6.3,27500,2019,2,26
2886,2019-02-27,6.1,6.1,5.8,6.1,140500,2019,2,27
2887,2019-02-28,6.1,6.25,6.1,6.1,63500,2019,2,28
2888,2019-03-01,6.48,6.5,6.46,6.49,36500,2019,3,1
2889,2019-03-04,6.35,6.35,6.04,6.08,368500,2019,3,4
2890,2019-03-05,6.15,6.15,5.85,6.13,69500,2019,3,5
2891,2019-03-06,6.15,6.15,6.15,6.15,2000,2019,3,6
2892,2019-03-07,5.94,5.95,5.88,5.9,275000,2019,3,7
2893,2019-03-11,5.9,5.9,5.61,5.77,36000,2019,3,11
2894,2019-03-12,5.9,6.16,5.6,5.65,565000,2019,3,12
2895,2019-03-13,5.55,6.18,5.55,5.72,418000,2019,3,13
2896,2019-03-14,5.58,5.9,5.58,5.9,52000,2019,3,14
2929,2019-05-03,4.98,5.1,4.98,5.04,2000,2019,5,3
2930,2019-05-09,4.89,4.9,4.89,4.9,5500,2019,5,9
2899,2019-03-19,5.56,5.56,5.0,5.26,866500,2019,3,19
2900,2019-03-20,5.31,5.6,5.2,5.4,51500,2019,3,20
2901,2019-03-21,5.4,5.64,5.1,5.52,3500,2019,3,21
2902,2019-03-22,5.16,5.65,5.1,5.35,13500,2019,3,22
2903,2019-03-26,5.1,5.15,5.0,5.03,148500,2019,3,26
2904,2019-03-27,5.1,5.22,5.05,5.17,59000,2019,3,27
2905,2019-03-28,5.01,5.51,5.0,5.5,1720500,2019,3,28
2906,2019-03-29,5.75,5.98,5.4,5.77,277000,2019,3,29
2907,2019-04-01,5.65,5.65,5.4,5.4,30500,2019,4,1
2908,2019-04-02,5.22,5.22,5.21,5.21,11500,2019,4,2
2909,2019-04-03,5.13,5.2,5.11,5.2,20000,2019,4,3
2910,2019-04-04,5.02,5.05,5.02,5.05,5500,2019,4,4
2911,2019-04-05,5.0,5.25,5.0,5.25,50500,2019,4,5
2912,2019-04-08,5.05,5.05,5.0,5.0,6500,2019,4,8
2945,2019-06-10,4.4,4.47,3.75,4.26,26000,2019,6,10
2946,2019-06-11,4.05,4.2,4.05,4.2,7500,2019,6,11
2915,2019-04-11,5.15,5.2,4.7,5.0,94500,2019,4,11
2916,2019-04-12,5.3,5.3,5.3,5.3,660000,2019,4,12
2917,2019-04-15,5.0,5.59,4.8,5.45,679000,2019,4,15
2918,2019-04-16,5.49,5.49,5.15,5.4,2000,2019,4,16
2919,2019-04-18,4.81,5.3,4.8,5.2,10000,2019,4,18
2920,2019-04-19,5.34,5.34,5.34,5.34,442000,2019,4,19
2921,2019-04-22,5.34,5.34,5.34,5.34,442000,2019,4,22
2922,2019-04-23,4.63,4.92,4.62,4.9,24500,2019,4,23
2923,2019-04-24,4.9,5.15,4.9,5.15,5000,2019,4,24
2924,2019-04-25,5.0,5.0,5.0,5.0,1000,2019,4,25
2925,2019-04-26,5.18,5.18,5.18,5.18,500,2019,4,26
2926,2019-04-29,5.02,5.02,5.02,5.02,2000,2019,4,29
2927,2019-04-30,4.8,4.8,4.8,4.8,500,2019,4,30
2928,2019-05-02,4.76,4.76,4.76,4.76,500,2019,5,2
2961,2019-07-02,4.84,4.9,4.67,4.69,31500,2019,7,2
2962,2019-07-04,4.97,5.0,4.88,4.89,12000,2019,7,4
2931,2019-05-13,4.5,4.5,4.5,4.5,2000,2019,5,13
2932,2019-05-14,4.5,4.5,4.3,4.3,26000,2019,5,14
2933,2019-05-15,4.9,4.94,4.9,4.92,3000,2019,5,15
2934,2019-05-16,4.5,4.5,4.5,4.5,15000,2019,5,16
2935,2019-05-17,4.5,4.5,4.01,4.1,86000,2019,5,17
2936,2019-05-20,4.45,4.5,4.11,4.18,37500,2019,5,20
2937,2019-05-21,4.5,4.6,4.5,4.6,470500,2019,5,21
2938,2019-05-22,4.85,4.97,4.75,4.86,5000,2019,5,22
2939,2019-05-23,4.65,4.8,4.45,4.66,26000,2019,5,23
2940,2019-05-24,4.75,4.75,4.5,4.5,4000,2019,5,24
2941,2019-05-28,4.05,4.2,4.05,4.16,15000,2019,5,28
2942,2019-05-29,4.7,4.7,4.4,4.5,72000,2019,5,29
2943,2019-05-30,4.55,4.55,4.0,4.03,109000,2019,5,30
2944,2019-06-03,4.15,4.15,4.0,4.0,90000,2019,6,3
2977,2019-07-30,4.06,4.46,4.05,4.46,1500,2019,7,30
2978,2019-07-31,4.06,4.39,4.06,4.39,14500,2019,7,31
2947,2019-06-12,4.2,4.25,4.01,4.01,4000,2019,6,12
2948,2019-06-13,4.22,4.22,4.22,4.22,500,2019,6,13
2949,2019-06-14,4.24,4.25,4.24,4.24,5000,2019,6,14
2950,2019-06-17,4.28,4.65,4.21,4.34,72000,2019,6,17
2951,2019-06-18,4.19,4.45,4.16,4.4,115000,2019,6,18
2952,2019-06-19,4.49,4.8,4.49,4.54,190500,2019,6,19
2953,2019-06-20,4.5,4.5,4.43,4.5,140000,2019,6,20
2954,2019-06-21,4.5,4.5,4.2,4.24,63500,2019,6,21
2955,2019-06-24,4.4,4.4,4.15,4.21,30500,2019,6,24
2956,2019-06-25,4.11,4.4,4.02,4.32,37500,2019,6,25
2957,2019-06-26,4.2,5.29,4.2,4.88,540500,2019,6,26
2958,2019-06-27,4.99,5.4,4.6,5.11,224000,2019,6,27
2959,2019-06-28,5.5,5.6,4.81,5.48,740500,2019,6,28
2960,2019-07-01,4.75,5.45,4.75,5.4,8000,2019,7,1
2993,2019-08-28,4.31,4.31,4.2,4.2,85000,2019,8,28
2994,2019-08-29,4.49,4.49,4.49,4.49,500,2019,8,29
2963,2019-07-08,4.51,4.65,4.41,4.65,5500,2019,7,8
2964,2019-07-09,4.69,4.69,4.65,4.65,3000,2019,7,9
2965,2019-07-10,4.4,4.4,4.4,4.4,2000,2019,7,10
2966,2019-07-11,4.35,4.45,4.31,4.43,17000,2019,7,11
2967,2019-07-15,4.22,4.75,4.2,4.7,8000,2019,7,15
2968,2019-07-16,4.26,4.3,4.25,4.3,3000,2019,7,16
2969,2019-07-17,0.0,4.3,4.3,4.3,9500,2019,7,17
2970,2019-07-18,4.21,4.49,4.0,4.08,28500,2019,7,18
2971,2019-07-19,4.48,4.49,4.48,4.49,7500,2019,7,19
2972,2019-07-22,4.06,4.49,4.01,4.39,2500,2019,7,22
2973,2019-07-23,4.01,4.49,4.01,4.49,3000,2019,7,23
2974,2019-07-24,4.25,4.25,4.25,4.25,1500,2019,7,24
2975,2019-07-26,4.01,4.47,4.01,4.47,2000,2019,7,26
2976,2019-07-29,4.45,4.45,4.4,4.4,6000,2019,7,29
3009,2019-09-26,4.15,4.3,4.12,4.3,6500,2019,9,26
3010,2019-09-27,4.3,4.3,3.9,4.07,136500,2019,9,27
2979,2019-08-01,4.49,4.49,4.49,4.49,25000,2019,8,1
2980,2019-08-02,4.49,4.49,4.25,4.49,11500,2019,8,2
2981,2019-08-05,4.25,4.48,4.25,4.48,4500,2019,8,5
2982,2019-08-06,4.16,4.24,4.16,4.24,1500,2019,8,6
2983,2019-08-07,4.48,4.49,4.48,4.49,4000,2019,8,7
2984,2019-08-08,4.06,4.44,4.05,4.44,3000,2019,8,8
2985,2019-08-09,4.58,4.59,4.58,4.59,6000,2019,8,9
2986,2019-08-16,4.25,4.58,4.14,4.31,6500,2019,8,16
2987,2019-08-20,4.4,4.45,4.25,4.45,17500,2019,8,20
2988,2019-08-21,4.27,4.45,4.26,4.45,9500,2019,8,21
2989,2019-08-22,4.59,4.65,4.5,4.51,3176000,2019,8,22
2990,2019-08-23,4.55,4.6,4.55,4.55,17500,2019,8,23
2991,2019-08-26,4.64,4.65,4.64,4.65,19500,2019,8,26
2992,2019-08-27,4.37,4.58,4.35,4.52,50000,2019,8,27
3025,2019-10-21,4.12,4.28,4.12,4.18,206000,2019,10,21
3026,2019-10-22,4.07,4.07,4.07,4.07,2000,2019,10,22
2995,2019-08-30,4.65,4.65,4.49,4.49,3500,2019,8,30
2996,2019-09-02,4.15,4.44,4.15,4.3,1000,2019,9,2
2997,2019-09-03,4.11,4.35,4.11,4.35,3000,2019,9,3
2998,2019-09-04,4.28,4.28,4.28,4.28,7000,2019,9,4
2999,2019-09-05,4.59,4.59,4.2,4.33,41500,2019,9,5
3000,2019-09-06,4.21,4.3,4.21,4.28,21500,2019,9,6
3001,2019-09-16,4.3,4.31,4.3,4.3,9000,2019,9,16
3002,2019-09-17,4.3,4.3,4.2,4.24,70000,2019,9,17
3003,2019-09-18,4.21,4.21,4.21,4.21,4500,2019,9,18
3004,2019-09-19,4.25,4.25,4.2,4.22,100000,2019,9,19
3005,2019-09-20,4.21,4.23,4.2,4.2,223500,2019,9,20
3006,2019-09-23,4.3,4.3,4.2,4.2,181500,2019,9,23
3007,2019-09-24,4.3,4.3,4.0,4.2,260000,2019,9,24
3008,2019-09-25,4.29,4.49,4.29,4.49,4500,2019,9,25
3041,2019-11-14,5.1,5.1,5.05,5.05,19500,2019,11,14
3042,2019-11-15,5.15,6.05,5.15,6.03,531000,2019,11,15
3011,2019-09-30,4.05,4.08,4.05,4.08,2500,2019,9,30
3012,2019-10-01,4.09,4.13,4.07,4.09,16500,2019,10,1
