Date,Open,High,Low,Close,Volume
11/14/2016,249,249,240.31,242.96,623700
11/15/2016,242.53,242.96,237.6,240.08,1157800
11/16/2016,240.01,241.76,238.01,239.9,1007500
11/17/2016,239.25,241,237.5,239.72,522600
11/18/2016,238.01,241,236,236.9,324200
11/21/2016,236,239,235.25,235.9,571300
11/22/2016,235,235.02,231.5,231.97,2060400
11/23/2016,233,234.32,228.5,232.77,1456600
11/24/2016,231.89,237.4,231.1,232.04,1584000
11/25/2016,233.3,233.5,230.2,232.42,215700
11/28/2016,231.5,233.98,231.5,232.03,77800
11/29/2016,233.77,235.9,228,228.71,1277700
11/30/2016,230.95,230.95,226.15,227.33,458700
12/1/2016,228.33,232,222.75,223.98,1105200
12/2/2016,225.5,231.45,222.52,230.44,243100
12/5/2016,232,233,228.53,229.47,493700
12/6/2016,230,230.5,228.6,229.94,969600
12/7/2016,228.11,234.4,228.1,232.09,1953900
12/8/2016,233.5,237.45,230.5,235.52,1389000
12/9/2016,235,243.75,235,242.82,1274400
12/13/2016,242.5,245.85,239,244.03,1287300
12/14/2016,243,253,239.15,248.48,1824800
12/15/2016,250.12,256,247.5,249.43,659400
12/16/2016,252,255.99,244,249.34,1181800
12/19/2016,249,261.8,249,260.11,2216200
12/20/2016,262,273.11,256.5,273.11,2667100
12/21/2016,274.5,283.99,259.46,272.46,2778000
12/22/2016,275,275.9,261.25,262.89,1624100
12/23/2016,265.28,265.5,259.5,261.75,1615600
12/26/2016,262.47,264.5,259,259.94,186800
12/27/2016,260,267,260,265.04,653800
12/28/2016,264.5,273,264.5,268.06,986700
12/29/2016,271,271,267.5,269.15,761000
12/30/2016,268,275,268,273.25,859300
1/2/2017,273.99,283,272.76,281.69,490200
1/3/2017,281.1,283.99,278.26,279.12,859000
1/4/2017,278,282.5,276.54,280.16,790000
1/5/2017,279.99,282,278.3,279.21,864100
1/6/2017,280.99,281.5,277.01,279.32,815600
1/9/2017,278,279.89,276.9,277.19,1381600
1/10/2017,277.05,277.99,274,275.25,432800
1/11/2017,275.5,278,273.12,276.89,446400
1/12/2017,277.5,277.95,271.5,274.62,490100
1/13/2017,275.99,275.99,273,273.3,559500
1/16/2017,271.01,272.49,264,267.12,1508100
1/17/2017,266.48,266.48,260.1,261.82,1040900
1/18/2017,261.82,264.49,258,260.6,916600
1/19/2017,261.01,262,258.8,260.24,217800
1/20/2017,261.97,263.75,259.1,260.58,399700
1/23/2017,260,262.74,259.01,260.14,489100
1/24/2017,261.8,261.8,257.59,258.42,1259000
1/25/2017,258.6,262.01,256,257.51,1156900
1/26/2017,258,265,255,262.41,943300
1/27/2017,262.01,274.99,262.01,265.09,1402200
1/30/2017,267.99,270.8,262,263.64,639800
1/31/2017,265.09,266,260,260.88,1179000
2/1/2017,263,265.52,259.5,263.41,1688900
2/2/2017,261.6,264.25,260.3,262.16,779600
2/3/2017,262.25,262.6,259,260.29,827200
2/6/2017,259.2,266.99,259.2,263.55,1120600
2/7/2017,264,266,263.51,264.9,772200
2/8/2017,262.12,268.5,261.5,266.88,592900
2/9/2017,263,269,263,267.15,275400
2/10/2017,264.26,268.2,264,266.96,443100
2/13/2017,266,273.4,264.06,268.58,1165400
2/14/2017,265.5,271.5,265.01,269.72,2376300
2/15/2017,269.5,271,263.5,266.02,1433500
2/16/2017,267.5,271.5,263.2,268.37,962500
2/17/2017,266.01,272,266.01,270.95,854300
2/20/2017,266.5,275.5,266.5,274.19,1253500
2/21/2017,273.99,276,272.6,275.16,948800
2/22/2017,276,277.25,272.5,275.87,1127800
2/23/2017,272.01,275,271,273.81,1005400
2/24/2017,276,276,272.6,273.87,317000
2/27/2017,272.01,275,272.01,273.44,451000
2/28/2017,271.25,274.98,270.6,272.58,1404300
3/1/2017,271.55,274.21,271.55,273.02,1600500
3/2/2017,277,283,275.62,281.44,1153000
3/3/2017,283,288.69,280.05,286.34,1397000
3/6/2017,287,288.5,282.99,285.15,897200
3/7/2017,283.01,286.9,281.3,285.2,1238900
3/8/2017,282,286.25,282,285.97,1026800
3/9/2017,282,293,282,288.14,2890800
3/10/2017,289.5,291.97,285.05,287.49,1390100
3/13/2017,292.5,292.5,284.02,288.3,1214500
3/14/2017,286,290,285,287.18,1495100
3/15/2017,289.4,290.5,279.8,283.53,1228600
