Date,Open,High,Low,Close,Volume
1/14/2013,154.54,156,153,155.26,4700
1/15/2013,155.26,154.5,148.01,149.39,16700
1/16/2013,149.39,151.45,150,150.55,4900
1/17/2013,150.55,153,151,151.6,9700
1/18/2013,151.6,158.39,152.6,156.74,17500
1/21/2013,156.74,160,155,157.5,13400
1/22/2013,157.5,157.5,155,156.61,7400
1/23/2013,156.61,157.9,155.2,156.86,2900
1/24/2013,156.86,157.5,156,156.94,12300
1/28/2013,156.94,161,155,156.91,20400
1/29/2013,156.91,156.5,155.3,156,4100
1/30/2013,156,156.75,155.5,156.75,3300
1/31/2013,156.75,156.75,155.5,155.66,1500
2/1/2013,155.66,158,155,157.79,9700
2/4/2013,157.79,165.67,158.5,165.67,36100
2/6/2013,165.67,173.95,169,173.95,17900
2/7/2013,173.95,175.5,171.84,172.07,21200
2/8/2013,172.07,174.2,171.6,172.66,6600
2/11/2013,172.66,178.45,174.8,176.7,11200
2/12/2013,176.7,180,177.5,177.95,6500
2/13/2013,177.95,179.99,178,178,5500
2/14/2013,178,178,177.99,178,1000
2/15/2013,178,177,175,175.25,2900
2/18/2013,175.25,176.99,174.25,174.99,6900
2/19/2013,174.99,174.3,174.25,174.25,400
2/20/2013,174.25,176.5,175,175.1,4300
2/21/2013,175.1,174.5,170,170.74,11800
2/22/2013,170.74,172.5,170.5,172.5,2900
2/25/2013,172.5,177,174.9,176.55,6400
2/26/2013,176.55,177,171,171.64,4000
2/27/2013,171.64,175,173,175,2400
2/28/2013,175,182.26,175,180.3,6300
3/1/2013,180.3,185,180,182.85,7500
3/4/2013,182.85,184,178.5,183.92,5400
3/5/2013,183.92,188,182.25,186.78,19000
3/6/2013,186.78,189.9,185,185.03,8300
3/7/2013,185.03,187.75,186,187,6900
3/8/2013,187,187.2,186,186.82,2400
3/11/2013,186.82,186.01,184,184.1,6900
3/12/2013,184.1,187,182.15,186,5000
3/13/2013,186,185.5,183,185.2,5300
3/14/2013,185.2,185.5,182.8,185.5,3600
3/15/2013,185.5,189,185.01,187.84,2800
3/18/2013,187.84,189,181.11,188.75,1500
3/19/2013,188.75,187,185,186,5900
3/21/2013,186,188.99,187,188,300
3/22/2013,188,190.1,188,188,1600
3/25/2013,188,191,189.97,191,2000
3/26/2013,191,188.15,188.15,191,100
3/29/2013,191,192,191,191.5,600
4/1/2013,191.5,192.7,188,188,1300
4/2/2013,188,188.05,187,188.05,1800
4/3/2013,188.05,185.21,185.21,188.05,100
4/4/2013,188.05,186.98,180,184,2600
4/5/2013,184,183,181.5,181.5,2800
4/8/2013,181.5,180.05,176,176,3200
4/9/2013,176,182,178.9,181.93,3100
4/10/2013,181.93,187.5,181,183.64,5700
4/11/2013,183.64,192.82,185,192.82,7300
4/12/2013,192.82,194.5,189.09,189.38,2700
4/15/2013,189.38,198.84,191,197.03,62500
4/16/2013,197.03,197,187.18,187.18,106800
4/17/2013,187.18,183,177.83,177.85,41200
4/18/2013,177.85,182.4,171,180.83,27900
4/19/2013,180.83,186.85,182,185.14,9800
4/22/2013,185.14,187.75,186,186.87,2700
4/23/2013,186.87,191,188.01,189.36,5600
4/24/2013,189.36,189.5,186,189.5,4300
4/25/2013,189.5,192.4,190,191.33,1600
4/26/2013,191.33,193,191.1,192.58,2400
4/29/2013,192.58,194,189,190.18,3800
4/30/2013,190.18,199.68,190.5,199.68,19600
5/2/2013,199.68,209.66,209.66,209.66,400
5/3/2013,209.66,220.14,219.99,220.14,26800
5/6/2013,220.14,229,221,223.9,60500
5/7/2013,223.9,222.75,220,221.72,5600
5/8/2013,221.72,230,223.25,226.3,62200
5/9/2013,226.3,227,221,224.02,8300
5/10/2013,224.02,225,220,222.36,12600
5/13/2013,222.36,224,222.25,223.7,10800
5/14/2013,223.7,225.5,223.5,224.75,7000
5/15/2013,224.75,226.8,224.7,225.04,7900
5/16/2013,225.04,226.5,225,225.04,10000
5/17/2013,225.04,236.29,226,236.29,22100
5/20/2013,236.29,248.1,240,248.1,6100
5/21/2013,248.1,260.5,240,242.95,38300
5/22/2013,242.95,249,240,247.2,9200
5/23/2013,247.2,252.99,249.98,252.02,12800
5/24/2013,252.02,255,250,255,8100
5/27/2013,255,255,249,250.89,9500
5/28/2013,250.89,253.74,250,252.31,7500
5/29/2013,252.31,263,253,254.25,35100
5/30/2013,254.25,264,256.9,261.74,17900
5/31/2013,261.74,267.85,261.15,265.11,5600
6/3/2013,265.11,278.36,273,274.9,37100
6/4/2013,274.9,282,275,281.15,25400
6/5/2013,281.15,285,278.15,278.37,11200
6/6/2013,278.37,283,275,280.29,15300
6/7/2013,280.29,282,275.1,279.54,25000
6/10/2013,217.63,225,218,221.12,25100
6/11/2013,221.12,221.04,218.03,219.2,6500
6/12/2013,219.2,219.2,211.01,214.29,7900
6/13/2013,214.29,216.9,210.1,210.2,7000
6/14/2013,210.2,210.5,203,204.09,8200
6/17/2013,204.09,202,201,201.52,3900
6/18/2013,201.52,201,198,199.6,3900
6/19/2013,199.6,199.1,198.2,199.02,2000
