"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00100","............i Portfolio Investment","77.016223","Million USD","Normal","NA","100","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00110","..................a Equity Securities","0","Million USD","Normal","NA","110","Net Foreign Public Portfolio Investment in Equity Securities"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00120","..................b Debt Securities","77.016223","Million USD","Normal","NA","120","Net Foreign Public Portfolio Investment in Debt Securities"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","184.0051217","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00020","......I Foreign Private Investment","250.821006","Million USD","Normal","NA","20","Net Foreign Private Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","249.804491","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","310.352887","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","60.548396","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","1.016515","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","1.016515","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
